,Predicted Price
2024-11-11 00:00:00+00:00,172.6621
2024-11-12 00:00:00+00:00,172.91267
2024-11-13 00:00:00+00:00,172.30168
2024-11-14 00:00:00+00:00,171.1855
2024-11-15 00:00:00+00:00,169.82603
2024-11-18 00:00:00+00:00,168.3833
2024-11-19 00:00:00+00:00,166.94781
2024-11-20 00:00:00+00:00,165.57034
2024-11-21 00:00:00+00:00,164.28098
2024-11-22 00:00:00+00:00,163.09862
2024-11-25 00:00:00+00:00,162.03493
2024-11-26 00:00:00+00:00,161.09668
2024-11-27 00:00:00+00:00,160.2859
2024-11-28 00:00:00+00:00,159.60071
2024-11-29 00:00:00+00:00,159.03568
2024-12-02 00:00:00+00:00,158.58263
2024-12-03 00:00:00+00:00,158.23094
2024-12-04 00:00:00+00:00,157.96855
2024-12-05 00:00:00+00:00,157.78221
2024-12-06 00:00:00+00:00,157.65813
2024-12-09 00:00:00+00:00,157.58261
2024-12-10 00:00:00+00:00,157.54228
2024-12-11 00:00:00+00:00,157.52484
2024-12-12 00:00:00+00:00,157.51883
2024-12-13 00:00:00+00:00,157.51427
2024-12-16 00:00:00+00:00,157.50264
2024-12-17 00:00:00+00:00,157.47714
2024-12-18 00:00:00+00:00,157.43253
2024-12-19 00:00:00+00:00,157.36504
2024-12-20 00:00:00+00:00,157.27264
2024-12-23 00:00:00+00:00,157.15448
2024-12-24 00:00:00+00:00,157.01086
2024-12-25 00:00:00+00:00,156.84329
2024-12-26 00:00:00+00:00,156.65395
2024-12-27 00:00:00+00:00,156.44563
2024-12-30 00:00:00+00:00,156.22168
2024-12-31 00:00:00+00:00,155.98552
2025-01-01 00:00:00+00:00,155.74078
2025-01-02 00:00:00+00:00,155.49103
2025-01-03 00:00:00+00:00,155.2395
2025-01-06 00:00:00+00:00,154.98943
2025-01-07 00:00:00+00:00,154.74344
2025-01-08 00:00:00+00:00,154.50401
2025-01-09 00:00:00+00:00,154.27292
2025-01-10 00:00:00+00:00,154.05179
2025-01-13 00:00:00+00:00,153.84164
2025-01-14 00:00:00+00:00,153.64311
2025-01-15 00:00:00+00:00,153.45648
2025-01-16 00:00:00+00:00,153.28178
2025-01-17 00:00:00+00:00,153.11862
2025-01-20 00:00:00+00:00,152.96637
2025-01-21 00:00:00+00:00,152.82436
2025-01-22 00:00:00+00:00,152.69156
2025-01-23 00:00:00+00:00,152.56705
2025-01-24 00:00:00+00:00,152.44969
2025-01-27 00:00:00+00:00,152.33846
2025-01-28 00:00:00+00:00,152.23232
2025-01-29 00:00:00+00:00,152.13028
2025-01-30 00:00:00+00:00,152.0314
2025-01-31 00:00:00+00:00,151.93492
2025-02-03 00:00:00+00:00,151.84007
2025-02-04 00:00:00+00:00,151.74635
2025-02-05 00:00:00+00:00,151.65321
2025-02-06 00:00:00+00:00,151.56036
2025-02-07 00:00:00+00:00,151.46751
2025-02-10 00:00:00+00:00,151.37457
2025-02-11 00:00:00+00:00,151.28154
2025-02-12 00:00:00+00:00,151.18831
2025-02-13 00:00:00+00:00,151.09508
2025-02-14 00:00:00+00:00,151.00203
2025-02-17 00:00:00+00:00,150.90926
2025-02-18 00:00:00+00:00,150.81702
2025-02-19 00:00:00+00:00,150.72557
2025-02-20 00:00:00+00:00,150.6351
2025-02-21 00:00:00+00:00,150.54584
2025-02-24 00:00:00+00:00,150.458
2025-02-25 00:00:00+00:00,150.37173
2025-02-26 00:00:00+00:00,150.28726
2025-02-27 00:00:00+00:00,150.20465
2025-02-28 00:00:00+00:00,150.12404
2025-03-03 00:00:00+00:00,150.0455
2025-03-04 00:00:00+00:00,149.96902
2025-03-05 00:00:00+00:00,149.89468
2025-03-06 00:00:00+00:00,149.82243
2025-03-07 00:00:00+00:00,149.75221
2025-03-10 00:00:00+00:00,149.68399
2025-03-11 00:00:00+00:00,149.61769
2025-03-12 00:00:00+00:00,149.55319
2025-03-13 00:00:00+00:00,149.49045
2025-03-14 00:00:00+00:00,149.42932
2025-03-17 00:00:00+00:00,149.36977
2025-03-18 00:00:00+00:00,149.31158
2025-03-19 00:00:00+00:00,149.25478
2025-03-20 00:00:00+00:00,149.19917
2025-03-21 00:00:00+00:00,149.14473
2025-03-24 00:00:00+00:00,149.09138
2025-03-25 00:00:00+00:00,149.03902
2025-03-26 00:00:00+00:00,148.98763
2025-03-27 00:00:00+00:00,148.93712
2025-03-28 00:00:00+00:00,148.88748
